control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-00648,templates/pages/help/index.html,65,link,a,All troubleshooting guides,,,,/help/troubleshooting,,,{},False,,Not individually executed
CONTROL-00649,templates/pages/help/index.html,70,link,a,Download the manual,,,,/help/export/complete,,,{},False,,Not individually executed
CONTROL-00650,templates/pages/help/manage.html,5,link,a,Create draft,,,,/help/manage/new,,,{},False,,Not individually executed
CONTROL-00651,templates/pages/help/manage.html,6,link,a,Edit,,,,/help/manage/{{ article.slug }},,,{},False,,Not individually executed
CONTROL-00652,templates/pages/help/manage.html,6,button,button,Submit,,,submit,,/help/manage/{{ article.slug }}/submit,post,{},False,,Not individually executed
CONTROL-00653,templates/pages/help/manage.html,6,button,button,Technical review,,,submit,,/help/manage/{{ article.slug }}/technical_review,post,{},False,,Not individually executed
CONTROL-00654,templates/pages/help/manage.html,6,button,button,Product review,,,submit,,/help/manage/{{ article.slug }}/product_review,post,{},False,,Not individually executed
CONTROL-00655,templates/pages/help/manage.html,6,button,button,Publish,,,submit,,/help/manage/{{ article.slug }}/publish,post,{},False,,Not individually executed
CONTROL-00656,templates/pages/help/release_notes.html,5,link,a,Knowledge Center,,,,/help,,,{},False,,Not individually executed
CONTROL-00657,templates/pages/help/search.html,7,link,a,Knowledge Center,,,,/help,,,{},False,,Not individually executed
CONTROL-00658,templates/pages/help/search.html,17,link,a,{{ result.article.title }},,,,/help/articles/{{ result.article.slug }},,,{},False,,Not individually executed
CONTROL-00659,templates/pages/hr/conversation_document.html,13,button,button,Print / Save as PDF,,,button,,,,"{""@click"": ""window.print()""}",False,,Not individually executed
CONTROL-00660,templates/pages/hr/extra_work.html,17,button,button,Assign Extra Work,,,button,/extra-work/assign-drawer?fy={{ fy }},,,"{""hx-get"": ""/extra-work/assign-drawer?fy={{ fy }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00661,templates/pages/hr/extra_work.html,66,button,button,Start,,,submit,,/extra-work/{{ a.id }}/start,get,{},False,,Not individually executed
CONTROL-00662,templates/pages/hr/extra_work.html,69,button,button,Submit Result,,,button,/extra-work/{{ a.id }}/submit-drawer,,,"{""hx-get"": ""/extra-work/{{ a.id }}/submit-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00663,templates/pages/hr/extra_work.html,98,link,a,Evidence link,,,,{{ a.evidence_uri }},,,{},False,,Not individually executed
CONTROL-00664,templates/pages/hr/extra_work.html,102,button,button,Verify & Complete,,,submit,,/extra-work/{{ a.id }}/verify,get,{},False,,Not individually executed
CONTROL-00665,templates/pages/hr/extra_work.html,105,field,input,Return reason,,reason,,,/extra-work/{{ a.id }}/return,get,{},False,,Not individually executed
CONTROL-00666,templates/pages/hr/extra_work.html,107,button,button,Return,,,submit,,/extra-work/{{ a.id }}/return,get,{},False,,Not individually executed
CONTROL-00667,templates/pages/hr/extra_work.html,108,button,button,Return…,,,button,,/extra-work/{{ a.id }}/return,get,"{""@click"": ""returning = true""}",False,,Not individually executed
CONTROL-00668,templates/pages/hr/extra_work.html,135,button,button,Cancel,,,submit,,/extra-work/{{ a.id }}/cancel,get,{},False,,Not individually executed
CONTROL-00669,templates/pages/hr/hr_today.html,73,link,a,Open,,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00670,templates/pages/hr/module_workspace.html,21,link,a,My Team,,,,/my-team,,,{},False,,Not individually executed
CONTROL-00671,templates/pages/hr/module_workspace.html,21,link,a,Human Capital,,,,/dashboard,,,{},False,,Not individually executed
CONTROL-00672,templates/pages/hr/module_workspace.html,35,link,a,{{ action.label }},,,,{{ action.href }},,,{},False,,Not individually executed
CONTROL-00673,templates/pages/hr/module_workspace.html,37,button,button,{{ action.label }},,,button,{{ action.drawer }},,,"{""hx-get"": ""{{ action.drawer }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00674,templates/pages/hr/module_workspace.html,43,link,a,{{ primary_action.label }} →,,,,{{ primary_action.href }},,,{},False,,Not individually executed
CONTROL-00675,templates/pages/hr/module_workspace.html,49,link,a,My Team,,,,/my-team,,,{},False,,Not individually executed
CONTROL-00676,templates/pages/hr/module_workspace.html,51,link,a,HR overview,,,,/dashboard,,,{},False,,Not individually executed
CONTROL-00677,templates/pages/hr/my_performance.html,13,link,a,Distribute targets,,,,/target-distribution?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-00678,templates/pages/hr/my_performance.html,14,link,a,Distribute to my team,,,,/target-distribution/team?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-00679,templates/pages/hr/my_performance.html,15,link,a,Strategy & approval,,,,/strategic-priorities?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-00680,templates/pages/hr/my_performance.html,16,link,a,Performance conversation,,,,/performance-conversation,,,{},False,,Not individually executed
CONTROL-00681,templates/pages/hr/my_performance.html,16,link,a,Performance conversation,,,,/performance-conversation,,,{},False,,Not individually executed
CONTROL-00682,templates/pages/hr/my_performance.html,40,field,input,{{ fy }},priority-year,fy,number,,,get,{},False,,Not individually executed
CONTROL-00683,templates/pages/hr/my_performance.html,42,button,button,Apply,,,submit,,,get,{},False,,Not individually executed
CONTROL-00684,templates/pages/hr/my_performance.html,46,link,a,{{ label }},,,,?fy={{ fy }}&tab={{ key }},,,{},False,,Not individually executed
CONTROL-00685,templates/pages/hr/my_performance.html,65,link,a,Open planning,,,,/planning?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-00686,templates/pages/hr/my_performance.html,82,link,a,Manage development,,,,/my-professional-development,,,{},False,,Not individually executed
CONTROL-00687,templates/pages/hr/my_performance.html,88,disclosure,summary,Conversation records and amendments,,,,,,,{},False,,Not individually executed
CONTROL-00688,templates/pages/hr/my_performance.html,90,link,a,View record,,,,/performance-conversation/{{ review.id }}/document/{{ row.snap.window }},,,{},False,,Not individually executed
CONTROL-00689,templates/pages/hr/performance_console.html,63,button,button,Open FY{{ fy }} cycle & draft agreements,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00690,templates/pages/hr/performance_console.html,71,field,select,Window,,window,,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00691,templates/pages/hr/performance_console.html,76,field,input,Deadline,,deadline,date,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00692,templates/pages/hr/performance_console.html,78,button,button,Activate & freeze snapshots,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00693,templates/pages/hr/performance_console.html,85,button,button,Close window,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00694,templates/pages/hr/performance_console.html,114,link,a,Open conversation,,,,/performance-conversation?staff={{ row.review.staff_id }},,,{},False,,Not individually executed
CONTROL-00695,templates/pages/hr/performance_console.html,121,button,button,Approve & lock,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00696,templates/pages/hr/performance_console.html,142,button,button,Ready for SLT,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00697,templates/pages/hr/performance_console.html,147,button,button,Record calibration,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00698,templates/pages/hr/performance_console.html,152,field,select,Rating,,rating,,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00699,templates/pages/hr/performance_console.html,153,button,button,Confirm rating,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00700,templates/pages/hr/performance_console.html,158,button,button,Sign & archive,,,submit,,/hr/performance-cycle/action,post,{},False,,Not individually executed
CONTROL-00701,templates/pages/hr/performance_conversation.html,17,link,a,Performance Reviews,,,,/performance-reviews,,,{},False,,Not individually executed
CONTROL-00702,templates/pages/hr/performance_conversation.html,54,field,input,,,note,text,,/performance-conversation/{{ review.id }}/agree-priorities,post,{},False,,Not individually executed
CONTROL-00703,templates/pages/hr/performance_conversation.html,56,button,button,Agree these priorities,,,submit,,/performance-conversation/{{ review.id }}/agree-priorities,post,{},False,,Not individually executed
CONTROL-00704,templates/pages/hr/performance_conversation.html,125,field,textarea,"{{ row.p.employee_reflection|default:"""" }}",,employee_reflection,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00705,templates/pages/hr/performance_conversation.html,127,field,select,Employee rating,,employee_rating,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00706,templates/pages/hr/performance_conversation.html,131,button,button,Save my reflection,,,submit,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00707,templates/pages/hr/performance_conversation.html,147,field,textarea,"{{ row.p.manager_assessment|default:"""" }}",,manager_assessment,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00708,templates/pages/hr/performance_conversation.html,149,field,select,Manager rating,,manager_rating,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00709,templates/pages/hr/performance_conversation.html,153,field,textarea,"{{ row.p.agreed_action|default:"""" }}",,agreed_action,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00710,templates/pages/hr/performance_conversation.html,155,button,button,Save manager review,,,submit,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00711,templates/pages/hr/performance_conversation.html,172,field,select,Functional manager rating,,functional_manager_rating,,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00712,templates/pages/hr/performance_conversation.html,176,button,button,Save rating,,,submit,,/performance-conversation/priority/{{ row.p.id }}/save,post,{},False,,Not individually executed
CONTROL-00713,templates/pages/hr/performance_conversation.html,218,button,button,Sign off & lock,,,submit,,/performance-conversation/{{ review.id }}/sign-off,post,{},False,,Not individually executed
CONTROL-00714,templates/pages/hr/professional_development_dashboard.html,38,button,button,Dismiss notification,,,button,,,,"{""@click"": ""$el.parentElement.remove()""}",False,,Not individually executed
CONTROL-00715,templates/pages/hr/professional_development_dashboard.html,50,field,select,Fiscal year,,fy,,,/cpd-learning,get,{},False,,Not individually executed
CONTROL-00716,templates/pages/hr/professional_development_dashboard.html,63,field,select,Country,,country,,,/cpd-learning,get,{},False,,Not individually executed
CONTROL-00717,templates/pages/hr/professional_development_dashboard.html,73,field,select,Role,,role,,,/cpd-learning,get,{},False,,Not individually executed
CONTROL-00718,templates/pages/hr/professional_development_dashboard.html,81,field,select,Status,,status,,,/cpd-learning,get,{},False,,Not individually executed
CONTROL-00719,templates/pages/hr/professional_development_dashboard.html,88,field,select,Reminder,,reminder,,,/cpd-learning,get,{},False,,Not individually executed
CONTROL-00720,templates/pages/hr/pulse_respond.html,33,field,input,{{ value }},,{{ key }},radio,,,post,{},False,,Not individually executed
CONTROL-00721,templates/pages/hr/pulse_respond.html,43,field,textarea,Please do not include names.,,comment,,,,post,{},False,,Not individually executed
CONTROL-00722,templates/pages/hr/pulse_respond.html,46,button,button,Submit anonymously,,,submit,,,post,{},False,,Not individually executed
CONTROL-00723,templates/pages/hr/ssa_mapping.html,59,button,button,History,,,button,/priorities/ssa-mapping/{{ row.item.id }}/history,,,"{""hx-get"": ""/priorities/ssa-mapping/{{ row.item.id }}/history"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00724,templates/pages/hr/strategic_priorities.html,59,field,input,Title,,title,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00725,templates/pages/hr/strategic_priorities.html,62,field,select,Level,,level,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00726,templates/pages/hr/strategic_priorities.html,67,field,textarea,Strategic purpose,,strategic_purpose,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00727,templates/pages/hr/strategic_priorities.html,70,field,input,Target guidance,,target_guidance,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00728,templates/pages/hr/strategic_priorities.html,73,field,input,Minimum standard,,minimum_standard,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00729,templates/pages/hr/strategic_priorities.html,76,field,select,Regional parent,,parent,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00730,templates/pages/hr/strategic_priorities.html,82,field,input,Weight minimum,,weight_min,number,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00731,templates/pages/hr/strategic_priorities.html,85,field,input,Weight maximum,,weight_max,number,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00732,templates/pages/hr/strategic_priorities.html,88,field,input,Mandatory,,is_mandatory,checkbox,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00733,templates/pages/hr/strategic_priorities.html,92,button,button,Draft priority,,,submit,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00734,templates/pages/hr/strategic_priorities.html,160,field,select,Role for {{ row.priority.title }},,role,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00735,templates/pages/hr/strategic_priorities.html,165,field,select,Accountability for {{ row.priority.title }},,accountability,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00736,templates/pages/hr/strategic_priorities.html,170,field,select,Measure for {{ row.priority.title }},,metric_key,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00737,templates/pages/hr/strategic_priorities.html,176,field,input,Outcome statement for {{ row.priority.title }},,outcome_statement,,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00738,templates/pages/hr/strategic_priorities.html,178,button,button,Save translation,,,submit,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00739,templates/pages/hr/strategic_priorities.html,187,button,button,Publish & cascade,,,submit,,/strategic-priorities/action,post,{},False,,Not individually executed
CONTROL-00740,templates/pages/ia/analytics_dashboard.html,46,link,a,Coordinate assessments,,,,/ia/dashboard/?view=collection,,,{},False,,Not individually executed
CONTROL-00741,templates/pages/ia/analytics_dashboard.html,47,link,a,Review verification queue ({{ kpis.waiting }}),,,,/ia/verification/,,,{},False,,Not individually executed
CONTROL-00742,templates/pages/ia/analytics_dashboard.html,73,link,a,Full queue,,,,/ia/verification/,,,{},False,,Not individually executed
CONTROL-00743,templates/pages/ia/compare_evidence.html,23,link,a,"#{{ w.id|slice:"":8"" }} {{ w.school.name|default:""Cluster-wide"" }} {{ w.get_activity_type_display }}",,,,/ia/compare/?activity_id={{ w.id }},,,{},False,,Not individually executed
CONTROL-00744,templates/pages/ia/compare_evidence.html,55,link,a,{{ act.cluster.name }},,,,/clusters/{{ act.cluster.id }},,,{},False,,Not individually executed
CONTROL-00745,templates/pages/ia/compare_evidence.html,69,link,a,{{ act.cluster.name }},,,,/clusters/{{ act.cluster.id }},,,{},False,,Not individually executed
CONTROL-00746,templates/pages/ia/compare_evidence.html,94,link,a,Download File,,,,/api/evidence/{{ ev.id }}/file?download=1,,,{},False,,Not individually executed
CONTROL-00747,templates/pages/ia/compare_evidence.html,153,link,a,Review Workspace,,,,/ia/verification/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00748,templates/pages/ia/duplicate_review.html,71,link,a,Compare Evidence side-by-side,,,,/ia/compare/?activity_id={{ dup.activity.id }},,,{},False,,Not individually executed
CONTROL-00749,templates/pages/ia/duplicate_review.html,78,button,button,Ignore Flag,,action,submit,,/ia/duplicates/{{ dup.id }}/action,POST,{},False,,Not individually executed
CONTROL-00750,templates/pages/ia/duplicate_review.html,81,button,button,Return to Plan,,action,submit,,/ia/duplicates/{{ dup.id }}/action,POST,{},False,,Not individually executed
CONTROL-00751,templates/pages/ia/duplicate_review.html,84,button,button,Flag Investigation,,action,submit,,/ia/duplicates/{{ dup.id }}/action,POST,{},False,,Not individually executed
CONTROL-00752,templates/pages/ia/framework.html,30,button,button,{{ action.label }},,,button,{{ action.drawer }},,,"{""hx-get"": ""{{ action.drawer }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00753,templates/pages/ia/framework.html,43,link,a,{{ item.label }},,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00754,templates/pages/ia/framework.html,56,button,button,{{ notice.post_label }},,,submit,,{{ notice.post }},post,{},False,,Not individually executed
CONTROL-00755,templates/pages/ia/impact_reports.html,22,button,button,Start report,,,button,/ia/impact-reports/new,,,"{""hx-get"": ""/ia/impact-reports/new"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00756,templates/pages/ia/impact_reports.html,36,field,select,{{ field.blank }} {{ option.1 }},,{{ field.name }},,,,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00757,templates/pages/ia/impact_reports.html,43,link,a,Reset,,,,/ia/impact-reports/,,get,{},False,,Not individually executed
CONTROL-00758,templates/pages/ia/impact_reports_brief.html,61,field,input,{{ today }},ia-brief-shared-on,shared_on,date,,/impact-briefs/{{ release.id }}/shared,post,{},False,,Not individually executed
CONTROL-00759,templates/pages/ia/impact_reports_brief.html,66,field,select,Not during a recorded visit {{ label }},ia-brief-visit,visit,,,/impact-briefs/{{ release.id }}/shared,post,{},False,,Not individually executed
CONTROL-00760,templates/pages/ia/impact_reports_brief.html,74,field,textarea,,ia-brief-response,school_response,,,/impact-briefs/{{ release.id }}/shared,post,{},False,,Not individually executed
CONTROL-00761,templates/pages/ia/impact_reports_brief.html,77,button,button,Record as shared,,,submit,,/impact-briefs/{{ release.id }}/shared,post,{},False,,Not individually executed
CONTROL-00762,templates/pages/ia/impact_reports_detail.html,17,link,a,Impact Reports,,,,/ia/impact-reports/,,,{},False,,Not individually executed
CONTROL-00763,templates/pages/ia/impact_reports_detail.html,23,button,button,Edit draft,,,button,/ia/impact-reports/{{ report.id }}/edit,,,"{""hx-get"": ""/ia/impact-reports/{{ report.id }}/edit"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00764,templates/pages/ia/impact_reports_detail.html,24,button,button,Submit for review,,,submit,,/ia/impact-reports/{{ report.id }}/submit,post,{},False,,Not individually executed
CONTROL-00765,templates/pages/ia/impact_reports_detail.html,27,button,button,Withdraw,,,submit,,/ia/impact-reports/{{ report.id }}/withdraw,post,{},False,,Not individually executed
CONTROL-00766,templates/pages/ia/impact_reports_detail.html,30,button,button,Review,,,button,/ia/impact-reports/{{ report.id }}/review,,,"{""hx-get"": ""/ia/impact-reports/{{ report.id }}/review"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00767,templates/pages/ia/impact_reports_detail.html,33,button,button,Release to country leadership,,,submit,,/ia/impact-reports/{{ report.id }}/release/leadership,post,{},False,,Not individually executed
CONTROL-00768,templates/pages/ia/impact_reports_detail.html,36,button,button,Release school briefs,,,button,/ia/impact-reports/{{ report.id }}/release/schools,,,"{""hx-get"": ""/ia/impact-reports/{{ report.id }}/release/schools"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00769,templates/pages/ia/impact_reports_detail.html,39,button,button,Request donor version,,,button,/ia/impact-reports/{{ report.id }}/release/donor,,,"{""hx-get"": ""/ia/impact-reports/{{ report.id }}/release/donor"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00770,templates/pages/ia/impact_reports_detail.html,42,button,button,Start a correction,,,submit,,/ia/impact-reports/{{ report.id }}/correct,post,{},False,,Not individually executed
CONTROL-00771,templates/pages/ia/impact_reports_detail.html,45,link,a,Download evidence annex,,,,/ia/impact-reports/{{ report.id }}/annex.csv,,,{},False,,Not individually executed
CONTROL-00772,templates/pages/ia/impact_reports_detail.html,56,link,a,Open version {{ successor.version }},,,,/ia/impact-reports/{{ successor.id }}/,,,{},False,,Not individually executed
CONTROL-00773,templates/pages/ia/impact_reports_detail.html,59,link,a,version {{ report.supersedes.version }},,,,/ia/impact-reports/{{ report.supersedes_id }}/,,,{},False,,Not individually executed
CONTROL-00774,templates/pages/ia/impact_reports_detail.html,86,button,button,Add recommendation,,,button,/ia/impact-reports/{{ report.id }}/recommendations/new,,,"{""hx-get"": ""/ia/impact-reports/{{ report.id }}/recommendations/new"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00775,templates/pages/ia/impact_reports_detail.html,103,button,button,Download today's live evidence annex (draft),,,submit,,/ia/impact-report/download,post,{},False,,Not individually executed
CONTROL-00776,templates/pages/ia/learning.html,27,button,button,Record finding,,,button,/ia/learning/findings/new?fy={{ fy }},,,"{""hx-get"": ""/ia/learning/findings/new?fy={{ fy }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00777,templates/pages/ia/learning.html,37,link,a,{{ item.label }},,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00778,templates/pages/ia/learning.html,48,field,select,{{ field.blank }} {{ option.1 }},,{{ field.name }},,,,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00779,templates/pages/ia/learning.html,81,disclosure,summary,"How these figures are madePairs, exposure, comparison, correction and grades",,,,,,,{},False,,Not individually executed
CONTROL-00780,templates/pages/ia/lending_evidence.html,31,link,a,{{ item.label }},,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00781,templates/pages/ia/lending_evidence.html,45,field,select,{{ field.blank }} {{ option.1 }},,{{ field.name }},,,,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00782,templates/pages/ia/notifications.html,29,link,a,{{ alert.title }},,,,{{ alert.target_route }},,,{},False,,Not individually executed
CONTROL-00783,templates/pages/ia/partials/queue_table.html,8,link,a,Remove filter: {{ chip.label }},,,,{{ chip.clear_url }},,,{},False,,Not individually executed
CONTROL-00784,templates/pages/ia/partials/queue_table.html,36,link,a,"#{{ act.id|slice:"":8"" }}",,,,/ia/verification/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00785,templates/pages/ia/partials/queue_table.html,60,link,a,Review,,,,/ia/verification/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00786,templates/pages/ia/partials/queue_table.html,62,disclosure,summary,More actions for {{ act.activityType|title|replace_underscore }} at {{ act.schoolName|default:'cluster' }},,,,,,,{},False,,Not individually executed
CONTROL-00787,templates/pages/ia/partials/queue_table.html,64,link,a,Compare evidence,,,,/ia/compare/?activity_id={{ act.id }},,,{},False,,Not individually executed
CONTROL-00788,templates/pages/ia/partials/queue_table.html,65,link,a,View audit timeline,,,,/activities/{{ act.id }}/timeline/,,,{},False,,Not individually executed
CONTROL-00789,templates/pages/ia/partials/queue_table.html,87,link,a,{{ act.activityType|title|replace_underscore }},,,,/ia/verification/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00790,templates/pages/ia/partials/queue_table.html,98,link,a,Review,,,,/ia/verification/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00791,templates/pages/ia/partials/queue_table.html,109,link,a,Previous,,,,/ia/verification/?page={{ page_obj.previous_page_number }},,,"{""hx-get"": ""/ia/verification/?page={{ page_obj.previous_page_number }}"", ""hx-target"": ""#queue-table-container"", ""hx-include"": ""#filters-form""}",False,,Not individually executed
CONTROL-00792,templates/pages/ia/partials/queue_table.html,110,link,a,Next,,,,/ia/verification/?page={{ page_obj.next_page_number }},,,"{""hx-get"": ""/ia/verification/?page={{ page_obj.next_page_number }}"", ""hx-target"": ""#queue-table-container"", ""hx-include"": ""#filters-form""}",False,,Not individually executed
CONTROL-00793,templates/pages/ia/partner_evidence_queue.html,36,link,a,{{ row.where }},,,,/ia/partner-evidence/{{ row.a.id }}/,,,{},False,,Not individually executed
CONTROL-00794,templates/pages/ia/partner_evidence_queue.html,45,link,a,Review,,,,/ia/partner-evidence/{{ row.a.id }}/,,,{},False,,Not individually executed
CONTROL-00795,templates/pages/ia/partner_review.html,17,button,button,Return,,,button,/ia/partner-evidence/{{ a.id }}/return-drawer,,,"{""hx-get"": ""/ia/partner-evidence/{{ a.id }}/return-drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00796,templates/pages/ia/partner_review.html,20,button,button,Complete,,,button,                               /activities/{{ a.id }}/partner-ssa-complete          /ia/partner-evidence/{{ a.id }}/complete-drawer           ,,,"{""hx-get"": ""                               /activities/{{ a.id }}/partner-ssa-complete          /ia/partner-evidence/{{ a.id }}/complete-drawer           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00797,templates/pages/ia/partner_review.html,71,link,a,{{ e.original_name }},,,,/api/evidence/{{ e.id }}/file,,,{},False,,Not individually executed
CONTROL-00798,templates/pages/ia/partner_review.html,74,link,a,Open,,,,/api/evidence/{{ e.id }}/file,,,{},False,,Not individually executed
CONTROL-00799,templates/pages/ia/partner_review.html,75,link,a,Download,,,,/api/evidence/{{ e.id }}/file?download=1,,,{},False,,Not individually executed
CONTROL-00800,templates/pages/ia/returned_activities.html,73,link,a,Inspect,,,,/ia/verification/{{ item.id }}/,,,{},False,,Not individually executed
CONTROL-00801,templates/pages/ia/review_workspace.html,66,link,a,Back to verification queue,,,,/ia/verification/,,,{},False,,Not individually executed
CONTROL-00802,templates/pages/ia/review_workspace.html,81,link,a,Audit Timeline,,,,/activities/{{ act.id }}/timeline/,,,{},False,,Not individually executed
CONTROL-00803,templates/pages/ia/review_workspace.html,85,link,a,Compare Side-by-Side,,,,/ia/compare/?activity_id={{ act.id }},,,{},False,,Not individually executed
CONTROL-00804,templates/pages/ia/review_workspace.html,97,button,button,Clear Activity,,,submit,,,,{},False,,Not individually executed
CONTROL-00805,templates/pages/ia/review_workspace.html,98,button,button,Return,,,button,,,,"{""@click"": ""openReturn($event)""}",False,,Not individually executed
CONTROL-00806,templates/pages/ia/review_workspace.html,122,link,a,{{ act.cluster.name }},,,,/clusters/{{ act.cluster.id }},,,{},False,,Not individually executed
CONTROL-00807,templates/pages/ia/review_workspace.html,148,button,button,Copy Salesforce Activity ID,,,button,,,,"{""@click"": ""navigator.clipboard.writeText('{{ act.salesforce_activity_id|escapejs }}')""}",False,,Not individually executed
CONTROL-00808,templates/pages/ia/review_workspace.html,186,tab,button,Evidence Attachments ({{ evidence_list|length }}),ia-review-tab-evidence,,button,,,,"{""@click"": ""setTab('evidence')"", ""@keydown.arrow-right.prevent"": ""moveTab(1)"", ""@keydown.arrow-left.prevent"": ""moveTab(-1)"", ""@keydown.home.prevent"": ""setTab('evidence')"", ""@keydown.end.prevent"": ""setTab('attendance')""}",False,,Not individually executed
CONTROL-00809,templates/pages/ia/review_workspace.html,189,tab,button,School Assessment (SSA),ia-review-tab-ssa,,button,,,,"{""@click"": ""setTab('ssa')"", ""@keydown.arrow-right.prevent"": ""moveTab(1)"", ""@keydown.arrow-left.prevent"": ""moveTab(-1)""}",False,,Not individually executed
CONTROL-00810,templates/pages/ia/review_workspace.html,192,tab,button,Attendance Sheet,ia-review-tab-attendance,,button,,,,"{""@click"": ""setTab('attendance')"", ""@keydown.arrow-right.prevent"": ""moveTab(1)"", ""@keydown.arrow-left.prevent"": ""moveTab(-1)""}",False,,Not individually executed
CONTROL-00811,templates/pages/ia/review_workspace.html,224,link,a,Open Full PDF,,,,/api/evidence/{{ ev.id }}/file,,,{},False,,Not individually executed
